position,content,type,speaker
59,"Oh, oh, he's just...he's just a little nervous. He's really quite a chatterbox. (Smacks Donkey again) Talk, you boneheaded dolt, talk!",dialog,Old Woman
60,That's it. I've heard enough. Guards!,dialog,The Captain
61,"No, no, he talks! He does. (Moving Donkey's lips) I can talk. I love to talk. I'm the talking-est damn thing you ever saw.",dialog,Old Woman
62,Get her out of my sight.,dialog,The Captain
63,"No, no! I swear! Oh! He can talk!",dialog,Old Woman
64,"(The guards grab the old woman and she struggles with them. One of her legs flies out and kicks Tinkerbell out of Peter Pan's hands, and her cage drops on Donkey's head. He gets sprinkled with fairy dust and starts floating upwards)",action,
65,Hey! I can fly!,dialog,Donkey
66,He can fly!,dialog,Peter Pan
67,He can fly!,dialog,3 Little Pigs
68,He can talk!,dialog,The Captain
69,"Ha, ha! That's right, fool! Now I'm a flying, talking donkey. You might have seen a housefly, maybe even a superfly but I bet you ain't never seen a donkey fly. Ha, ha! (The pixie dust's effects begin to wear off) Uh-oh. (He drops out of the air and hits the ground with a thud)",dialog,Donkey
70,Seize him!,dialog,The Captain
71,(Donkey dodges the guards as they try to grab him and runs deeper into the forest),action,
72,After him! He's getting away! Get him! This way! Turn!,dialog,Guards
73,"(Donkey escapes deeper into the forest and runs head first into Shrek's backside. Shrek turns around to see who bumped into him and glares down at Donkey. Donkey looks scared of Shrek for a moment, but he quickly hides behind him after seeing that the guards have caught up to him)",action,
74,You there. Ogre!,dialog,The Captain
75,Aye?,dialog,Shrek
76,"By the order of Lord Farquaad, I am authorized to place you both under arrest and...(Shrek slowly approaches the group of guards, the guards visibly frightened by him) transport you to... a designated...resettlement...facility?",dialog,The Captain
77,"Oh, really? You and what army? (smiles)",dialog,Shrek
78,"(The Captain looks behind himself and sees that all the other guards have abandoned him. The Captain tucks tail and runs off. Shrek shakes his head and starts walking back to his swamp. Donkey, impressed by Shrek, follows him)",action,
79,"Can I say something to you? Listen, you was really, really, really somethin' back here. Incredible!",dialog,Donkey
80,Are you talking to...(he turns around and Donkey is gone) me? (he turns back around and Donkey is right in front of him) Whoa!,dialog,Shrek
81,Yes. I was talking to you. Can I tell you that you that you was great back there? Man those guards! They thought they was all of that. Then you showed up and bam! They was tripping over themselves like babes in the woods. That really made me feel good to see that.,dialog,Donkey
82,"(annoyed) Oh, that's great. Really.",dialog,Shrek
83,"Man, it's good to be free.",dialog,Donkey
84,"Now, why don't you go celebrate your freedom with your own friends? Hmm?",dialog,Shrek
85,"But, uh, I don't have any friends. And I'm not goin' out there by myself. Hey, wait a minute! I got a great idea! I'll stick with you. You're a mean, green, fighting machine. Together we'll scare the spit out of anybody that crosses us.",dialog,Donkey
86,(Shrek turns and regards Donkey for a moment before loudly roaring in his face),action,
87,"Oh, wow! That was really scary. If you don't mind me saying, if that don't work, your breath certainly will get the job done, 'cause you definitely need some Tic Tacs or something, 'cause your breath stinks!",dialog,Donkey
88,"(Shrek walks off. Donkey reappears ahead of him, dangling from a felled log)",action,
89,"Man, you almost burned the hair outta my nose, just like the time...(Shrek covers his mouth but Donkey continues to talk. Shrek removes his hand) ...then I ate some rotten berries. I had strong gases leaking out of my butt that day.",dialog,Donkey
90,Why are you following me?,dialog,Shrek
91,"I'll tell you why. (drops from the log. Singing) ""'Cause I'm all alone, There's no one here beside me, My problems have all gone, There's no one to deride me, But you gotta have friends...""",dialog,Donkey
92,"Stop singing! (picks up Donkey by his ears and tail) Well, it's no wonder you don't have any friends (drops him)",dialog,Shrek
93,Wow. Only a true friend would be that truly honest.,dialog,Donkey
94,"Listen, little donkey. Take a look at me. What am I?",dialog,Shrek
95,(looks all the way up at Shrek) Uh...really tall?,dialog,Donkey
96,"No! I'm an ogre! You know, ""Grab your torch and pitchforks."" Doesn't that bother you?",dialog,Shrek
97,(shakes his head) Nope.,dialog,Donkey
98,(surprised) Really?,dialog,Shrek
99,"Really, really.",dialog,Donkey
100,(taken aback) Oh.,dialog,Shrek
101,"Man, I like you. What's your name?",dialog,Donkey
102,"Uh, Shrek.",dialog,Shrek
103,"Shrek? Well, you know what I like about you, Shrek? You got that kind of ""I-don't-care-what-nobody-thinks-of-me"" thing. I like that. I respect that, Shrek. You're all right. (they come over a hill overlooking Shrek's swamp) Woo, look at that! Who'd want to live in place like that?",dialog,Donkey
104,(annoyed) That would be my home.,dialog,Shrek
105,"Oh! And it is lovely! Just beautiful. You know you are quite a decorator. It's amazing what you've done with such a modest budget. I like that boulder. That is a nice boulder. (looks at Shrek's ""keep out"" signs) I guess you don't entertain much, do you?",dialog,Donkey
106,I like my privacy.,dialog,Shrek
107,"You know, I do too. That's another thing we have in common. Like I hate it when you got somebody in your face. You're trying to give them a hint and they won't leave. And there's that big awkward silence you know? (awkward silence) Can I stay with you?",dialog,Donkey
108,"Uh, what?",dialog,Shrek
109,"Can I stay with you, please?",dialog,Donkey
110,(sarcastically) Of course!,dialog,Shrek
111,Really?,dialog,Donkey
112,No.,dialog,Shrek
113,"Please! I don't wanna go back there! You don't know what it's like to be considered a freak. (Donkey pushes Shrek up against the door) Well, maybe you do. But that's why we gotta stick together. You gotta let me stay! Please! Please!",dialog,Donkey
114,Okay! Okay. But one night only.,dialog,Shrek
115,Ah! Thank you! (he runs inside the hut),dialog,Donkey
116,Ah! What are you...no! (Donkey hops up onto a chair.) No!,dialog,Shrek
117,"This is gonna be fun! We can stay up late, swapping manly stories, and in the morning... I'm making waffles.",dialog,Donkey
118,(growls in frustration),dialog,Shrek
119,"Where do, uh, I sleep?",dialog,Donkey
120,(irritated) Outside!,dialog,Shrek
121,"Oh, well, I guess that's cool. I mean, I don't know you, and you don't know me, so I guess outside is best, you know. Here I go. Good night. (Shrek slams the door, shutting Donkey outside) I mean, I do like the outdoors. I'm a donkey. I was born outside. I'll just be sitting by myself outside, I guess, you know. By myself, outside. I'm all alone...there's no one here beside me...",dialog,Donkey
122,SHREK'S HOME - NIGHT,setting,
123,"(Shrek is getting ready for dinner. He sits down, lights a candle made out of his own earwax, and begins eating. Donkey looks inside from a window, and then lays down by the front door. Shrek is about to take a bite when he hears a creaking noise. He stands up with a huff)",action,
124,(to Donkey) I thought I told you to stay outside!,dialog,Shrek
125,(from the window) I am outside!,dialog,Donkey
126,(Shrek hears a noise from inside and turns to find the source. He sees several shadows moving and looks around. He sees the 3 Blind Mice on his table),action,
127,"Well, gents, it's a far cry from the farm, but what choice do we have?",dialog,Mouse 1
128,"It's not home, but it'll do just fine.",dialog,Mouse 2
129,(bouncing on a slug) What a lovely bed.,dialog,Gorder
130,"Got ya. (grabs Gorder, but he escapes and lands on his shoulder)",dialog,Shrek
131,I found some cheese. (bites into Shrek's ear),dialog,Gorder
132,Ow! (tries to grab him),dialog,Shrek
133,Blah! Awful stuff. (jumps down to the table),dialog,Gorder
134,"Is that you, Gorder?",dialog,Blind Mouse
135,How did you know?,dialog,Gorder
136,Enough! (he grabs all 3 mice) What are you doing in my house? (He gets bumped from behind and he drops the mice) Hey!,dialog,Shrek
137,"(Shrek turns around and sees that the 7 Dwarves have put Snow White, sleeping in her glass coffin, on the table)",action,
138,"Oh, no, no, no. Dead broad off the table! (pushes the coffin away)",dialog,Shrek
139,Where are we supposed to put her? The bed's taken.,dialog,Dwarf
140,(confused) Huh?,dialog,Shrek
141,(Shrek walks over to the bedroom and throws back the curtain. The Big Bad Wolf is laying in the bed),action,
142,What?,dialog,Big Bad Wolf
143,(Shrek now has the Big Bad Wolf by the collar and is dragging him to the front door),action,
144,I live in a swamp. I put up signs. I'm a terrifying ogre! What do I have to do get a little privacy?,dialog,Shrek
145,(He opens the front door and throws Big Bad Wolf out. He sees that a horde of fairytale creatures have set up camp in his swamp),action,
146,"Oh, no. Oh, no. No! No! (he dodges out the way of a group of witches flying on broomsticks)",dialog,Shrek
147,"(Papa Bear and Little Bear sit around the fire, the Pied Piper is playing his pipe and the rats are all running to him, some elves are directing flight traffic so that the fairies and witches can land)",action,
148,WHAT ARE YOU DOING IN MY SWAMP?!!,dialog,Shrek
149,(Shrek's voice echoes throughout the camp and everyone falls silent. Gasps are heard all around. The 3 Good Fairies hide inside a tent),action,
150,"All right, get out of here. All of you, move it! Come on! Let's go! Hapaya! Hapaya! Hey!",dialog,Shrek
151,Quickly. Come on!,dialog,Dwarves
152,(More dwarves run inside the house and shut the door behind them),action,
153,"No, no! No, no. Not there! Not there!",dialog,Shrek
154,"(Shrek fiddles with the door handle, unable to open the door. He gives Donkey an annoyed look)",action,
155,"Hey, don't look at me. I didn't invite them.",dialog,Donkey
156,"Well gosh, no one invited us.",dialog,Pinocchio
157,What?!,dialog,Shrek
158,We were forced to come here!,dialog,Pinocchio
159,By who?!,dialog,Shrek
160,Lord Farquaad. He huffed and he puffed and he...signed an eviction notice.,dialog,Little Pig
161,"(sighs) Alright. Who knows where this... ""Farquaad"" guy is?",dialog,Shrek
162,(The crowd gasps at the mention of Lord Farquaad. No one answers),action,
163,"Oh, I do. I know where he is!",dialog,Donkey
164,Does anyone else know where to find him?,dialog,Shrek
165,(Little Bear raises his hand but Papa Bear quickly puts his hand down. Big Bad Wolf and a wizard point at each other),action,
166,Anyone at all?,dialog,Shrek
167,Me! Me!,dialog,Donkey
168,Anyone?,dialog,Shrek
169,"(jumping up and down) Oh! Oh, pick me! Oh, I know! I know! Me, me!",dialog,Donkey
170,"(sighs) Okay, fine. Attention all...fairy tale things. Do not get comfortable! Your welcome is officially worn out! In fact, I'm gonna see this guy Farquaad right now and get you all off my land and back where you came from!",dialog,SHREK
171,"(After a brief silence, the crowd erupts into cheering and applause. This was not Shrek's intention. A group of birds drapes a cloak made of flowers around Shrek's shoulders, much to his annoyance)",action,
172,Oh! (to Donkey) You! You're coming with me.,dialog,Shrek
173,"(Shrek brushes the cloak onto the ground, while the birds come back to place a wreath of flowers on Donkey's head. They make their through the crowd)",action,
174,"All right, that's what I like to hear, man. Shrek and Donkey, 2 stalwart friends, off on a whirlwind big-city adventure. I love it!",dialog,Donkey
175,"(singing) ""On the road again..."", sing it with me, Shrek!",dialog,Donkey
176,"(as they walk away from the crowd Shrek grabs the torch from a dwarf cheering them on, who refuses to let go. Shrek shakes the torch until the dwarf falls into a pond)",action,
177,"""I can't wait to get on the road again.""",dialog,Donkey
178,What did I say about singing? (yanks the wreath off Donkey's head),dialog,Shrek
179,Can I whistle?,dialog,Donkey
180,No.,dialog,Shrek
181,"Well, can I hum it?",dialog,Donkey
182,"(annoyed) All right, hum it.",dialog,Shrek
183,(Donkey begins to hum 'On the Road Again'. The pair walk off into the night with Shrek's torch lighting the way),action,
184,DULOC - DUNGEON,setting,
185,"(A masked man is pouring a glass of milk. Another man is shown walking down the hallway towards a set of doors. As he is let into the room by two guards, we can see that the man is abnormally short. The masked man is dunking what looks to be a small person into the glass of milk)",action,
186,(stepping forward) That's enough. He's ready to talk.,dialog,Lord Farquaad
187,Gingy is pulled out of the milk by Thelonious and is slammed down onto a cookie sheet. Lord Farquaad laughs evilly as he walks over to the table. When he reaches the table we see that he is too short to see above it. He clears his throat and the table is lowered,setting,
188,"(he picks up the Gingy's severed legs and plays with them) Run, run, run, as fast as you can. You can't catch me. I'm the gingerbread man!",dialog,Lord Farquaad
189,You're a monster!,dialog,Gingy
190,"I'm not the monster here, you are. (throws one leg at Gingy) You and the rest of that fairy tale trash, poisoning my perfect world (crumbles his other leg into dust) Now, tell me! Where are the others?!",dialog,Lord Farquaad
191,Eat me! (spits at Lord Farquaad),dialog,Gingy
192,Ugh! I've tried to be fair to you creatures. Now my patience has reached its end! Tell me or I'll...(he grabs one of Gingy's gumdrop buttons),dialog,Lord Farquaad
193,"No, no, not the buttons. Not my gumdrop buttons!",dialog,Gingy
194,All right then. Who's hiding them?,dialog,Lord Farquaad
195,"Okay, I'll tell you. Do you know the muffin man?",dialog,Gingy
196,The muffin man?,dialog,Lord Farquaad
197,The muffin man.,dialog,Gingy
198,"Yes, I know the muffin man. Who lives on Drury Lane?",dialog,Lord Farquaad
199,"Well, she's married to the muffin man.",dialog,Gingy
200,(Shocked) The muffin man?,dialog,Lord Farquaad
201,The muffin man!,dialog,Gingy
202,She's married to the muffin man.,dialog,Lord Farquaad
203,(A door opens and the Captain of the Duloc Guards steps in),action,
204,My lord! We've found it.,dialog,The Captain
205,Then what are you waiting for? Bring it in!,dialog,Lord Farquaad
206,(More guards enter carrying an object covered by a sheet. They mount it on the wall and the Captain removes the sheet. It is the Magic Mirror. Everyone stands in awe),action,
207,Ohhhh...,dialog,Gingy
208,Magic mirror...,dialog,Lord Farquaad
209,Don't tell him anything! (Lord Farquaad smacks him off the table and into a trash can) No!,dialog,Gingy
210,"Evening. Mirror, mirror on the wall, is this not the most perfect kingdom of them all?",dialog,Lord Farquaad
211,"Well, technically you're not a king.",dialog,Magic Mirror
212,"Uh, Thelonius. (Thelonius holds up a hand mirror and smashes it with his fist) You were saying?",dialog,Lord Farquaad
213,What I mean is you're not a king yet. But you can become one. All you have to do is marry a princess.,dialog,Magic Mirror
214,Go on.,dialog,Lord Farquaad
215,"(chuckles nervously) So, just sit back and relax, my lord, because it's time for you to meet today's eligible bachelorettes. And...here they are!",dialog,Magic Mirror
216,"(Bouncy gameshow music begins to play. Using himself as a screen, the Magic Mirror reveals three shadowy portraits of princesses. Lord Farquaad seems confused but watches on silently)",action,
217,"Bachelorette number 1 is a mentally abused shut-in from a kingdom far, far away. She likes sushi and hot tubbing anytime! Her hobbies include cooking and cleaning for her 2 evil sisters. Please welcome...Cinderella!",dialog,Magic Mirror
218,(An image of Cinderella doing housework flips to a portrait of Cinderella in her ball gown putting on the glass slipper. Lord Farquaad looks at her approvingly and the Captain claps),action,
219,"Bachelorette number 2 is a cape-wearing girl from the land of fancy. Although she lives with 7 other men, she's not easy.",dialog,Magic Mirror
220,(An image of the 7 Dwarves flashes on the screen. The guards laugh at the Mirror's joke),action,
221,"Just kiss her dead, frozen lips and find out what a live wire she is. Come on, give it up for Snow White!",dialog,Magic Mirror
222,"(The mirror shows a portrait of Snow White in her slumber. Lord Farquaad seems even more pleased, and everyone else claps this time)",action,
223,"And last, but certainly not last, bachelorette number 3 is a fiery redhead from a dragon-guarded castle surrounded by hot boiling lava!",dialog,Magic Mirror
224,(The mirror shows an image of a giant dragon besides a tower and then of a giant castle surrounded by lava. A bright fire shines on the screen and Lord Farquaad covers his eyes. This doesn't seem to deter his interest),action,
225,"But don't let that cool you off. She's a loaded pistol who likes piña coladas and getting caught in the rain. Yours for the rescuing, Princess Fiona!",dialog,Magic Mirror
226,(The mirror shows a portrait of Princess Fiona leaning on the window of her tower. Once again everyone else claps),action,
227,"So, will it be: bachelorette number 1, bachelorette number 2, or bachelorette number 3?",dialog,Magic Mirror
228,(The mirrors flips through each princesses' portrait. The guards shout out different numbers while Lord Farquaad frantically tries to decide),action,
229,2! 2! 3! 3! 2! 2! 3!,dialog,Guards
230,(to himself) 2? 3? 1? 3?,dialog,Lord Farquaad
231,"3! (holds up 2 fingers) Pick number 3, my lord!",dialog,Thelonius
232,"Okay, okay, uh... number 3!",dialog,Lord Farquaad
233,"Lord Farquaad, you've chosen Princess Fiona.",dialog,Magic Mirror
234,(Wild applause erupts from the guards. Lord Farquaad is captivated by the portrait of Fiona),action,
235,Princess...Fiona...she's perfect. All I have to do is just find someone who can go...,dialog,Lord Farquaad
236,But I probably should mention the little thing that happens at night.,dialog,Magic Mirror
237,"(Lord Farquaad doesn't listen to the mirror at all, too busy formulating a plan)",action,
238,I'll do it.,dialog,Lord Farquaad
239,"Yes, but after sunset...",dialog,Magic Mirror
240,"Silence! I will make this Princess Fiona my queen, and Duloc will finally have the perfect king! Captain, assemble your finest men. We're going to have a tournament! (grins evilly)",dialog,Lord Farquaad
241,DULOC KINGDOM - EXTERIOR,setting,
242,(Shrek and Donkey come out of the field just outside the Duloc parking lot),action,
243,But that's it. That's it right there. That's Duloc. I told ya I'd find it.,dialog,Donkey
244,"(The 2 gaze up at Duloc Castle, a building that towers over the rest of the kingdom)",action,
245,"So, that must be Lord Farquaad's castle.",dialog,Shrek
246,Uh-huh. That's the place.,dialog,Donkey
247,Do you think maybe he's compensating for something?,dialog,Shrek
248,"(Shrek laughs, but then groans as Donkey doesn't get the joke. He continues walking through the parking lot)",action,
249,"Hey, wait. Wait up, Shrek.",dialog,Donkey
250,"Hurry, darling. We're late. Hurry!",dialog,Man
251,(A man and woman run through the castle's entrance. In front of the gate is a series of ropes hung in a maze for crowd control. A mascot wearing a giant head resembling Lord Farquaad stands at the end of the line. Shrek and Donkey exchange looks),action,
252,"Hey, you!",dialog,Shrek
253,(The mascot screams at the sight of Shrek and begins running through the roped path to get to the front gate),action,
254,"Wait a second. Look, I'm not gonna eat you. I just-- I just --",dialog,Shrek
255,"(Shrek sighs in frustration and then begins pushing his way through the ropes. The mascot runs into a wall and knocks himself out. Shrek pushes through the entrance's turnstile, but Donkey gets caught in it and lands on the ground with a thud. Donkey sheepishly smiles and Shrek sighs in annoyance)",action,
256,DULOC - INTERIOR,setting,
257,"(Shrek and Donkey look around the square, which is deserted. The trees and grass are neatly cut and the rows of houses all looked exactly the same. Chirpy music quietly plays from a set of loudspeakers)",action,
258,It's quiet. Too quiet. Where is everybody?,dialog,Shrek
259,"Hey, look at this!",dialog,Donkey
260,(Donkey runs over and pulls a lever that is attached to a box marked 'Information'. The music winds up and then the box doors open up. There are little wooden people inside and they begin to sing),action,
261,"Welcome to Duloc such a perfect town / Here we have some rules let us lay them down / Don't make waves, stay in line and we'll get along  fine / Duloc is perfect place / Please keep off of the grass / Shine your shoes, wipe your... face / Duloc is, Duloc is / Duloc is perfect place.",dialog,Wooden People
262,"(Suddenly a camera takes Shrek and Donkey's picture, both of which are dumbfounded)",action,
263,Wow! Let's do that again!,dialog,Donkey
264,(Donkey makes ready to run over and pull the lever again but Shrek quickly grabs him by the tail),action,
265,"No! No! No, no, no! (whispers) No.",dialog,Shrek
266,(They hear a trumpet fanfare from afar and head over to investigate. A voice sounds from the distance),action,
267,"Brave knights! You are the best and brightest in all the land, and today one of you shall prove himself better and brighter than all the rest.",dialog,Lord Farquaad
268,"(As Shrek and Donkey walk down the tunnel to get into the arena, Donkey hums the Duloc theme song)",action,
269,"All right, you're going the right way for a smacked bottom.",dialog,Shrek
270,Sorry about that.,dialog,Donkey
271,ARENA,setting,
272,"(In the center of a stadium-like arena, Duloc Knights are gathered as a large crowd of citizens watches on from the stands. Horses, kegs of beer, arrow targets, and other equipment are scattered about. Farquaad is atop a high up balcony, flanked by two guards, addressing the crowd. Shrek and Donkey step out onto the arena but don't seem to be noticed)",action,
273,"That champion shall have the honor-- no, no -- the privilege to go forth and rescue the lovely Princess Fiona from the fiery keep of the dragon. If for any reason the winner is unsuccessful, the first runner-up will take his place. And so on and so forth. Some of you may die, but it's a sacrifice I am willing to make.",dialog,Lord Farquaad
274,"(The crowd cheers and applauds. Shrek looks around, noticing a man holding up a cue card up to the crowd that reads ""APPLAUSE"")",action,
275,Let the tournament begin!,dialog,Lord Farquaad
276,"(Shrek marches through the Duloc Knights, who back away in disgust upon noticing him)",action,
277,Oh! What is that? It's hideous!,dialog,Lord Farquaad
278,(The crowd gasps and goes quiet),action,
279,"Ah, that's not very nice (looks at Donkey and then back at Lord Farquaad) It's just a donkey.",dialog,Shrek
280,"(Donkey looks confused, the joke is once again lost on him)",action,
281,"Indeed. Knights, new plan! The one who kills the ogre will be named champion! Have at him!",dialog,Lord Farquaad
282,"(Lord Farquaad points at Shrek. The Duloc Knights draw their weapons and slowly approach Shrek as he backs up, the crowd cheering them on)",action,
283,Get him!,dialog,Crowd
284,"Oh, hey! Now come on! Hang on now. (He bumps into a table, noticing mugs of ale)",dialog,Shrek
285,Go ahead! Get him!,dialog,Crowd
286,(holds up a mug of ale) Can't we just settle this over a pint?,dialog,Shrek
287,Kill the beast!,dialog,Crowd
288,No? All right then. (drinks the ale in one gulp) Come on!,dialog,Shrek
289,"(Shrek takes the mug and smashes the spigot off the large barrel of ale behind him. The ale comes rushing out, knocking the knights down and wetting the ground into mud. Shrek slides past the knights and uses a spear like a hockey stick to knock one off his feet. Donkey hops up onto one of the larger beer barrels. It breaks free of its ropes and begins to roll. Donkey manages to squish 2 knights into the mud and rolls over another group of knights running after Shrek. Shrek hops over a set of ropes that appears to make up a wrestling ring. Shrek uses the ropes to launch himself at 2 knights, knocking them over with his arms. The crowd boos. Shrek jump kicks a knight, and then body slams another. A knight comes from behind Shrek with his spear ready to attack. The crowd gasps, but before he can make a move Shrek puts him in a full-nelson hold)",action,
290,"Hey, Shrek, tag me! Tag me!",dialog,Donkey
291,"(Shrek brings the knight over to Donkey, who leans on the ropes and headbutts the knight. Shrek gets up on the ropes and interacts with the crowd, who have now begun to cheer for Shrek and Donkey. Shrek stands on top of the ropes and beckons on the crowd's cheers)",action,
292,Yeah!,dialog,Shrek
293,"(A knight tries to sneak up behind Shrek, but he turns in time to sees him and jumps on him)",action,
294,The chair! Give him the chair!,dialog,Woman
295,"(Shrek uses a folding chair to smack the knight lying on the ground. Shrek dispatches a few more knights with ease. Shrek picks up the last knight, spinning him over his head and then throwing him against the post of the wrestling ring. Donkey kicks his helmet, and the ding sounds the end of the match. Finally all the knights are down. The audience goes wild)",action,
296,"Oh, yeah! Ah! Ah! Thank you! Thank you very much! I'm here till Thursday. Try the veal! Ha, ha! (laughs)",dialog,Shrek
297,"(Lord Farquaad motions to the guards, who aim their crossbows at Shrek and Donkey. The crowd gasps and goes silent. Shrek stops laughing)",action,
298,"Shall I give the order, sir?",dialog,Guard
299,"No, I have a better idea. People of Duloc! I give you our champion!",dialog,Lord Farquaad
300,(The crowd cheers and a fanfare plays),action,
301,What?,dialog,Shrek
302,"Congratulations, ogre. You've won the honor of embarking on a great and noble quest.",dialog,Lord Farquaad
303,Quest? I'm already on a quest. A quest to get my swamp back.,dialog,Shrek
304,Your swamp?,dialog,Lord Farquaad
305,"Yeah, my swamp! Where you dumped those fairy tale creatures!",dialog,Shrek
306,"Indeed. All right, ogre. I'll make you a deal. Go on this quest for me, and I'll give you your swamp back.",dialog,Lord Farquaad
307,Exactly the way it was?,dialog,Shrek
308,Down to the last slime-covered toadstool.,dialog,Lord Farquaad
309,And the squatters?,dialog,Shrek
310,As good as gone.,dialog,Lord Farquaad
311,(Shrek glances at the soldiers still aiming their crossbows and then turns back to Lord Farquaad),action,
312,What kind of quest?,dialog,Shrek
313,DULOC  - EXTERIOR,setting,
314,(Shrek and Donkey are now walking through the fields heading away from Duloc. Shrek is munching on an onion),action,
315,Let me get this straight. You're gonna go fight a dragon and rescue a princess just so Farquaad will give you back a swamp which you only don't have because he filled it full of freaks in the first place. Is that about right?,dialog,Donkey
316,"You know, maybe there's a good reason donkeys shouldn't talk.",dialog,Shrek
317,"I don't get it. Why don't you just pull some of that ogre stuff on him? Throttle him, lay siege to his fortress, grinds his bones to make your bread, the whole ogre trip.",dialog,Donkey
318,"Oh, I know what. Maybe I could have decapitated an entire village and put their heads on a pike, gotten a knife, cut open their spleen and drink their fluids. Does that sound good to you?",dialog,Shrek
319,"Uh, no, not really, no.",dialog,Donkey
320,"For your information, there's a lot more to ogres than people think.",dialog,Shrek
